n_estimators,max depth,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Avg F1 Score,Avg Accuracy
350,15,0.777,0.889,0.8,0.8,0.777,0.8,0.889,0.8,0.753,0.777,0.806,0.85
350,20,0.8,0.8,0.889,0.777,0.8,0.852,0.8,0.818,0.8,0.8,0.814,0.859
350,25,0.889,0.8,0.889,0.8,0.8,0.889,0.777,0.8,0.777,0.889,0.831,0.873
350,30,0.889,0.889,0.889,0.8,0.8,0.818,0.889,0.889,0.889,0.8,0.855,0.886
350,35,0.818,0.8,0.8,0.889,0.8,0.753,0.889,0.889,0.777,0.889,0.83,0.864
350,40,0.8,0.889,0.8,0.8,0.8,0.889,0.8,0.889,0.889,0.852,0.841,0.882
350,45,0.8,0.777,0.8,0.889,0.8,0.8,0.889,0.889,0.777,0.889,0.831,0.873
350,50,0.818,0.8,0.8,0.951,0.889,0.8,0.8,0.8,0.889,0.8,0.835,0.877
400,1,0.852,0.754,0.818,0.818,0.766,0.786,0.852,0.909,0.852,0.852,0.826,0.823
400,5,0.909,0.889,0.8,0.8,0.889,0.889,0.8,0.777,0.777,0.8,0.833,0.873
400,10,0.777,0.889,0.8,0.818,0.889,0.8,0.852,0.889,0.889,0.8,0.84,0.873
400,15,0.889,0.889,0.8,0.8,0.889,0.8,0.889,0.889,0.8,0.8,0.845,0.886
400,20,0.852,0.951,0.889,0.8,0.889,0.8,0.8,0.889,0.8,0.8,0.847,0.886
400,25,0.889,0.777,0.889,0.8,0.889,0.8,0.8,0.8,0.852,0.889,0.839,0.877
400,30,0.8,0.753,0.777,0.8,0.889,0.777,0.889,0.8,0.889,0.889,0.826,0.864
400,35,0.951,0.8,0.852,0.777,0.852,0.8,0.889,0.8,0.777,0.889,0.839,0.873
400,40,0.8,0.8,0.889,0.852,0.889,0.889,0.889,0.8,0.889,0.889,0.858,0.891
400,45,0.889,0.8,0.8,0.889,0.8,0.8,0.8,0.8,0.8,0.889,0.827,0.877
400,50,0.889,0.8,0.889,0.777,0.753,0.8,0.889,0.777,0.889,0.8,0.826,0.864
